family,condition,n_passwords,avg_zxcvbn_log10,avg_best_llm_log10,avg_uniform_mixture_llm_log10,avg_best_plus_log10M_llm_log10,avg_qwen25_1p5b_llm_remainder_log10,avg_mistral7b_v03_llm_remainder_log10
brainrot,control,8,10.591468291321195,8.684924917657556,8.88238139891014,8.985954913321537,9.373142034354727,8.959879170040509
brainrot,linked,8,11.11255537808859,9.741640472369397,9.905799252634997,10.042670468033378,10.890356596722539,9.915626516958604
campus,control,8,9.397574230516666,7.996042936127215,8.208435258349901,8.297072931791195,9.729051068467124,8.162508181812619
campus,linked,8,9.335053777615272,7.297393152798218,7.481334451809781,7.598423148462199,8.636731341717367,7.47754152841631
gacha_anime,control,8,11.193513785494586,8.406862006068332,8.670110444428936,8.707892001732313,10.069388007847934,8.606120287589018
gacha_anime,linked,8,11.707779850372592,8.0580428232277,8.315868314103867,8.359072818891681,9.695804752376041,8.23849798766115
gaming,control,8,10.29773322391322,6.970281683651388,7.186214488925452,7.271311679315369,8.360883932835396,7.0639801575280785
gaming,linked,8,10.594235071387013,5.578865422843365,5.817704773910316,5.879895418507346,7.4075672933646,5.769041991404639
public_culture,control,6,5.821679732681861,6.044846572157432,6.181146307261621,6.3458765678214135,6.147239923778652,6.363880528736071
public_culture,linked,6,6.797896195897327,3.0560895981826666,3.2631643523698277,3.357119593846648,3.4681812074410243,3.5751565680771846
random,random,10,9.775417518450535,8.450811805008739,8.6244514294402,8.75184180067272,8.54116239759877,9.320655169712978
tech_web,control,7,8.474836101349288,6.085663265049242,6.332153170309788,6.386693260713224,6.981501333489482,6.363067302739034
tech_web,linked,7,8.718800452678009,4.078366120843477,4.227579594372709,4.379396116507459,4.52426787784191,4.16346778713818
